filename,total_loc,hedge_typically,hedge_ideally,hedge_consider,hedge_should,hedge_may,hedge_could,total_hedges,hedges_per_1000_loc
".claude/agents/api-agent.md",317,0,0,0,0,0,0,0,0.00
".claude/agents/database-agent.md",729,0,0,0,4,0,0,4,5.49
".claude/agents/dependency-agent.md",608,0,0,0,0,1,0,1,1.64
".claude/agents/design-agent.md",648,0,0,0,1,0,0,1,1.54
".claude/agents/docmon-agent.md",248,0,0,0,0,0,0,0,0.00
".claude/agents/github-agent.md",520,0,0,0,0,0,2,2,3.85
".claude/agents/orchestrator-child-agent.md",126,0,0,0,0,0,0,0,0.00
".claude/agents/performance-agent.md",199,0,0,0,0,0,0,0,0.00
".claude/agents/rca-agent.md",631,0,0,0,0,0,0,0,0.00
".claude/agents/regression-agent.md",318,0,0,0,0,0,0,0,0.00
".claude/agents/retro-agent.md",665,0,0,0,2,0,0,2,3.01
".claude/agents/risk-agent.md",244,0,0,0,0,1,0,1,4.10
".claude/agents/security-agent.md",239,0,0,0,0,0,0,0,0.00
".claude/agents/stories-agent.md",578,0,0,0,1,1,0,2,3.46
".claude/agents/testing-agent.md",403,0,0,0,0,0,0,0,0.00
".claude/agents/uat-agent.md",170,0,0,0,0,0,0,0,0.00
".claude/agents/validation-agent.md",559,0,0,0,0,0,0,0,0.00
AGGREGATE,7202,0,0,0,8,3,2,13,1.81
