filename,total_loc,hedge_typically,hedge_ideally,hedge_consider,hedge_should,hedge_may,hedge_could,total_hedges,hedges_per_1000_loc
".claude/skills/eva.skill.md",128,0,0,0,0,0,0,0,0.00
".claude/skills/eva-archplan.skill.md",247,0,0,0,2,0,0,2,8.10
".claude/skills/eva-constitution.skill.md",113,0,0,0,0,0,0,0,0.00
".claude/skills/eva-mission.skill.md",95,0,0,0,0,0,0,0,0.00
".claude/skills/eva-okr.skill.md",122,0,0,0,0,0,0,0,0.00
".claude/skills/eva-research.skill.md",219,0,0,0,0,0,0,0,0.00
".claude/skills/eva-score.skill.md",114,0,0,0,0,0,0,0,0.00
".claude/skills/eva-strategy.skill.md",114,0,0,0,0,0,0,0,0.00
".claude/skills/eva-vision.skill.md",246,0,0,1,2,0,0,3,12.20
".claude/skills/review-vision.skill.md",242,0,0,0,0,0,3,3,12.40
AGGREGATE,1640,0,0,1,4,0,3,8,4.88
