filename,total_loc,hedge_typically,hedge_ideally,hedge_consider,hedge_should,hedge_may,hedge_could,total_hedges,hedges_per_1000_loc
".claude/commands/assist.md",308,0,0,0,1,1,0,2,6.49
".claude/commands/batch.md",72,0,0,0,0,0,0,0,0.00
".claude/commands/brainstorm.md",2079,0,0,0,3,3,2,8,3.85
".claude/commands/claim.md",294,0,0,1,0,1,0,2,6.80
".claude/commands/context-compact.md",145,1,0,0,0,0,0,1,6.90
".claude/commands/coordinator.md",525,0,0,0,1,3,2,6,11.43
".claude/commands/distill.md",765,0,0,0,1,0,0,1,1.31
".claude/commands/doc-audit.md",118,0,0,0,0,0,0,0,0.00
".claude/commands/document.md",1238,0,0,0,1,2,1,4,3.23
".claude/commands/execute.md",201,0,0,0,0,0,0,0,0.00
".claude/commands/feedback.md",26,0,0,0,0,0,0,0,0.00
".claude/commands/friday.md",85,0,0,0,0,0,0,0,0.00
".claude/commands/gate-debug.md",284,0,0,0,0,0,1,1,3.52
".claude/commands/handoff-in.md",106,0,0,0,0,1,0,1,9.43
".claude/commands/handoff-out.md",49,0,0,0,0,0,0,0,0.00
".claude/commands/heal.md",244,0,0,0,0,0,0,0,0.00
".claude/commands/inbox.md",271,0,0,0,1,0,0,1,3.69
".claude/commands/learn.md",309,0,0,0,0,0,0,0,0.00
".claude/commands/leo.md",677,0,0,0,0,0,0,0,0.00
".claude/commands/leo-cleanup.md",151,0,0,0,0,0,0,0,0.00
".claude/commands/leo-resume.md",87,0,0,0,0,0,0,0,0.00
".claude/commands/leo-settings.md",83,0,0,0,0,0,0,0,0.00
".claude/commands/prove.md",546,1,0,0,0,0,0,1,1.83
".claude/commands/quick-fix.md",235,0,0,0,1,0,0,1,4.26
".claude/commands/rca.md",237,0,0,0,0,0,0,0,0.00
".claude/commands/read-full.md",49,0,0,0,0,0,0,0,0.00
".claude/commands/restart.md",105,0,0,0,0,0,0,0,0.00
".claude/commands/sd-create.md",130,0,0,0,0,0,0,0,0.00
".claude/commands/sd-start.md",436,0,0,0,1,5,0,6,13.76
".claude/commands/ship.md",859,0,0,0,0,4,0,4,4.66
".claude/commands/simplify.md",219,0,0,1,0,0,0,1,4.57
".claude/commands/status.md",74,0,0,0,0,0,0,0,0.00
".claude/commands/triangulation-protocol.md",392,0,0,0,2,0,0,2,5.10
".claude/commands/uat.md",341,0,0,0,1,0,0,1,2.93
AGGREGATE,11740,2,0,2,13,20,6,43,3.66
